name,city,locality,cuisines,cost,Currency,rating,votes,primary_cuisine,cost_category
Mogli's Coffee,Gurgaon,"DT City Centre Mall, MG Road",cafe,150,Indian Rupees(Rs.),3.8,35,cafe,low
Pind Balluchi,Gurgaon,"DT Mega Mall, DLF Phase 1","north indian, mughlai",800,Indian Rupees(Rs.),2.6,26,north indian,high
Sip n Bite,Gurgaon,"DT Mega Mall, DLF Phase 1","north indian, chinese, continental",500,Indian Rupees(Rs.),3.2,38,north indian,medium
Abar Khabo,Gurgaon,"DT Mega Mall, DLF Phase 1",bengali,550,Indian Rupees(Rs.),3.6,86,bengali,medium
Moti Mahal Delux,Gurgaon,"DT Mega Mall, DLF Phase 1",north indian,1000,Indian Rupees(Rs.),3.6,29,north indian,high
The Lost Mughal,Gurgaon,"DT Mega Mall, DLF Phase 1","north indian, mughlai, biryani",700,Indian Rupees(Rs.),3.8,43,north indian,medium
Fortune Deli - Fortune Select Excalibur,Gurgaon,"Fortune Select Excalibur, Sohna Road",bakery,1000,Indian Rupees(Rs.),3.6,42,bakery,high
India on my Plate - Fortune Select Excalibur,Gurgaon,"Fortune Select Excalibur, Sohna Road","north indian, mughlai",2000,Indian Rupees(Rs.),4.0,111,north indian,high
Orchid - Fortune Select Global,Gurgaon,"Fortune Select Global, MG Road","north indian, chinese, continental",2500,Indian Rupees(Rs.),2.6,20,north indian,high
Hungry Buffoons,Gurgaon,"Global Foyer Mall, Golf Course Road","north indian, italian, mexican",300,Indian Rupees(Rs.),2.7,24,north indian,medium
Karim's,Gurgaon,"Global Foyer Mall, Golf Course Road","mughlai, north indian",1000,Indian Rupees(Rs.),2.8,261,mughlai,high
Manhattan Brewery & Bar Exchange,Gurgaon,"Global Foyer Mall, Golf Course Road","finger food, american, continental, north indian, italian",2000,Indian Rupees(Rs.),4.6,2093,finger food,high
Di Miso,Gurgaon,"Global Foyer Mall, Golf Course Road","korean, japanese, chinese, asian",1500,Indian Rupees(Rs.),3.6,38,korean,high
Kuuraku,Gurgaon,"Global Foyer Mall, Golf Course Road",japanese,1250,Indian Rupees(Rs.),3.9,106,japanese,high
Vapour Bar Exchange,Gurgaon,"Global Foyer Mall, Golf Course Road","continental, finger food, chinese, north indian",1600,Indian Rupees(Rs.),3.8,31,continental,high
19 Flavours Biryani,Gurgaon,"Global Foyer Mall, Golf Course Road","mughlai, hyderabadi",700,Indian Rupees(Rs.),4.1,84,mughlai,medium
Bhai Ji Foods,Gurgaon,Golf Course Road,"north indian, chinese",400,Indian Rupees(Rs.),3.3,165,north indian,medium
Captain Bill$ Deliverz,Gurgaon,Golf Course Road,"north indian, chinese, fast food",1000,Indian Rupees(Rs.),2.7,185,north indian,high
Curry n Phulka,Gurgaon,Golf Course Road,"north indian, chinese",550,Indian Rupees(Rs.),2.8,48,north indian,medium
Jaguar,Gurgaon,Golf Course Road,"chinese, north indian",800,Indian Rupees(Rs.),2.8,14,chinese,high
Jalsa Lounge,Gurgaon,Golf Course Road,"north indian, chinese",850,Indian Rupees(Rs.),3.2,37,north indian,high
Lord of Grillz,Gurgaon,Golf Course Road,"chinese, north indian, italian, continental",800,Indian Rupees(Rs.),3.2,30,chinese,high
Midnight Cravings Beyond Control,Gurgaon,Golf Course Road,"north indian, mughlai, chinese",800,Indian Rupees(Rs.),3.3,336,north indian,high
Outback,Gurgaon,Golf Course Road,"continental, north indian",1000,Indian Rupees(Rs.),3.4,106,continental,high
The Cinnamon Kitchen,Gurgaon,Golf Course Road,"north indian, chinese",600,Indian Rupees(Rs.),3.4,50,north indian,medium
Dudleys,Gurgaon,Golf Course Road,"american, continental, burger",1000,Indian Rupees(Rs.),4.6,150,american,high
56 Ristorante Italiano,Gurgaon,Golf Course Road,italian,2200,Indian Rupees(Rs.),3.7,416,italian,high
All Time Cafe,Gurgaon,Golf Course Road,"north indian, chinese, thai",500,Indian Rupees(Rs.),3.6,32,north indian,medium
Baba's,Gurgaon,Golf Course Road,"north indian, mughlai",900,Indian Rupees(Rs.),3.6,110,north indian,high
Chilli Indiana,Gurgaon,Golf Course Road,italian,500,Indian Rupees(Rs.),3.8,74,italian,medium
Go Kylin,Gurgaon,Golf Course Road,"japanese, chinese, asian, malaysian, thai, vietnamese",1500,Indian Rupees(Rs.),3.5,81,japanese,high
Just for Chai,Gurgaon,Golf Course Road,cafe,450,Indian Rupees(Rs.),3.5,116,cafe,medium
Kabab Mistri,Gurgaon,Golf Course Road,"north indian, mughlai, biryani",550,Indian Rupees(Rs.),3.6,36,north indian,medium
Nashta,Gurgaon,Golf Course Road,"healthy food, continental",700,Indian Rupees(Rs.),3.7,224,healthy food,medium
Nooba,Gurgaon,Golf Course Road,chinese,1500,Indian Rupees(Rs.),3.6,148,chinese,high
Side Wok,Gurgaon,Golf Course Road,"burmese, chinese, japanese, malaysian, thai",2000,Indian Rupees(Rs.),3.9,280,burmese,high
Takamaka,Gurgaon,Golf Course Road,"north indian, continental, italian",1700,Indian Rupees(Rs.),3.9,67,north indian,high
The Ark,Gurgaon,Golf Course Road,"seafood, mediterranean",2000,Indian Rupees(Rs.),3.7,45,seafood,high
The Gathering Hut,Gurgaon,Golf Course Road,"north indian, chinese",700,Indian Rupees(Rs.),3.5,27,north indian,medium
Wangchuk's Ladakhi Kitchen,Gurgaon,Golf Course Road,"tibetan, nepalese",850,Indian Rupees(Rs.),3.6,241,tibetan,high
Daawat-e-Kashmir,Gurgaon,Golf Course Road,"kashmiri, mughlai",1200,Indian Rupees(Rs.),4.2,146,kashmiri,high
La Pino'z Pizza,Gurgaon,Golf Course Road,"pizza, mexican, chinese, italian",1000,Indian Rupees(Rs.),4.0,259,pizza,high
The Diet Kitchen,Gurgaon,Golf Course Road,"continental, healthy food",700,Indian Rupees(Rs.),4.0,20,continental,medium
Om Sweets & Snacks,Gurgaon,"Hong Kong Bazaar Mall, Sector 57, Gurgaon","north indian, south indian, street food, mithai",500,Indian Rupees(Rs.),3.1,138,north indian,medium
Subway,Gurgaon,"Hong Kong Bazaar Mall, Sector 57, Gurgaon","american, fast food, salad, healthy food",500,Indian Rupees(Rs.),2.8,101,american,medium
Taste of Tamil Nadu,Gurgaon,"Hong Kong Bazaar Mall, Sector 57, Gurgaon","south indian, chinese, north indian",400,Indian Rupees(Rs.),3.1,94,south indian,medium
The Bridge - Hotel Clark Inn Gurgaon,Gurgaon,"Hotel Clark Inn, Sector 15","north indian, chinese",1400,Indian Rupees(Rs.),2.8,7,north indian,high
Illusion The Lounge Bar - Hotel Clark Inn Gurgaon,Gurgaon,"Hotel Clark Inn, Sector 15","north indian, chinese",1400,Indian Rupees(Rs.),0.0,2,north indian,high
Gardenia - Hotel Grenville,Gurgaon,"Hotel Grenville, MG Road","north indian, continental, chinese",1500,Indian Rupees(Rs.),2.8,15,north indian,high
Call For Cuisine - Hotel Grenville,Gurgaon,"Hotel Grenville, MG Road","north indian, chinese",600,Indian Rupees(Rs.),0.0,2,north indian,medium
Armory - Hotel Haut.Monde,Gurgaon,"Hotel Haute.Monde, Sector 15",finger food,1000,Indian Rupees(Rs.),2.9,6,finger food,high
Citron - Hotel Haut.Monde,Gurgaon,"Hotel Haute.Monde, Sector 15","north indian, chinese, continental",1300,Indian Rupees(Rs.),2.7,13,north indian,high
Gabbar Meals,Gurgaon,"Huda City Centre Metro Station, Sector 29, Gurgaon","north indian, mughlai",450,Indian Rupees(Rs.),3.4,260,north indian,medium
McDonald's,Gurgaon,"Huda City Centre Metro Station, Sector 29, Gurgaon","fast food, burger",500,Indian Rupees(Rs.),2.7,90,fast food,medium
Crust Bistro,Gurgaon,"Huda City Centre Metro Station, Sector 29, Gurgaon","italian, pizza",800,Indian Rupees(Rs.),3.6,144,italian,high
Dunkin' Donuts,Gurgaon,"Huda City Centre Metro Station, Sector 29, Gurgaon","burger, desserts, fast food",600,Indian Rupees(Rs.),3.6,243,burger,medium
Kabab Roll Cafe,Gurgaon,"Huda City Centre Metro Station, Sector 29, Gurgaon","north indian, mughlai",600,Indian Rupees(Rs.),3.8,121,north indian,medium
Starbucks,Gurgaon,"Huda City Centre Metro Station, Sector 29, Gurgaon",cafe,700,Indian Rupees(Rs.),3.8,183,cafe,medium
Eggers Madhouse,Gurgaon,"Huda City Centre Metro Station, Sector 29, Gurgaon",fast food,500,Indian Rupees(Rs.),4.0,647,fast food,medium
Gallery Cafí© - Hyatt Place,Gurgaon,Hyatt Place Gurgaon,cafe,1500,Indian Rupees(Rs.),3.8,73,cafe,high
Coffee to Cocktail Bar - Hyatt Place,Gurgaon,Hyatt Place Gurgaon,drinks only,2100,Indian Rupees(Rs.),0.0,0,drinks only,high
Spice It - Hotel IBIS,Gurgaon,"IBIS Hotel, Golf Course Road","fast food, north indian, chinese",1000,Indian Rupees(Rs.),2.7,96,fast food,high
Nukkadwala,Gurgaon,"JMD Megapolis Mall, Sohna Road","fast food, street food",300,Indian Rupees(Rs.),3.4,41,fast food,medium
Power Play Resto Bar,Gurgaon,"JMD Regent Arcade Mall, MG Road","north indian, american, italian",1850,Indian Rupees(Rs.),2.8,91,north indian,high
Daikichi,Gurgaon,"JMD Regent Arcade Mall, MG Road",japanese,1000,Indian Rupees(Rs.),3.6,70,japanese,high
The Atrium - By Jukaso It Suites,Gurgaon,"Jukaso It Suites, Sector 14","asian, bakery",1500,Indian Rupees(Rs.),2.8,21,asian,high
Delhi - Kingdom of Dreams,Gurgaon,"Kingdom of Dreams, Sector 29",street food,500,Indian Rupees(Rs.),3.7,364,street food,medium
Lucknow - Kingdom of Dreams,Gurgaon,"Kingdom of Dreams, Sector 29",lucknowi,1000,Indian Rupees(Rs.),3.7,179,lucknowi,high
Longitude 77Á03' Bar - Le Meridien Gurgaon,Gurgaon,"Le Meridien Gurgaon, MG Road",finger food,1600,Indian Rupees(Rs.),3.4,23,finger food,high
I-Kandy - Le Meridien Gurgaon,Gurgaon,"Le Meridien Gurgaon, MG Road",finger food,4500,Indian Rupees(Rs.),3.6,218,finger food,high
Bella Cucina - Le Meridien Gurgaon,Gurgaon,"Le Meridien Gurgaon, MG Road",italian,4000,Indian Rupees(Rs.),4.1,38,italian,high
Bar Code - Leisure Inn,Gurgaon,"Leisure Inn, Sector 14, Gurgaon",finger food,1900,Indian Rupees(Rs.),3.0,6,finger food,high
Bites - Leisure Inn,Gurgaon,"Leisure Inn, Sector 14, Gurgaon","north indian, continental, asian",1400,Indian Rupees(Rs.),3.0,19,north indian,high
Outback Bar and Grill - Leisure Inn,Gurgaon,"Leisure Inn, Sector 14, Gurgaon","north indian, finger food",1200,Indian Rupees(Rs.),3.0,10,north indian,high
Citrus Cafe - Lemon Tree Premier,Gurgaon,"Lemon Tree Premier, Sector 29","north indian, continental, chinese",2000,Indian Rupees(Rs.),3.2,137,north indian,high
Ammu's South Indian Restaurant,Gurgaon,MG Road,south indian,300,Indian Rupees(Rs.),2.8,45,south indian,medium
Barista,Gurgaon,MG Road,cafe,650,Indian Rupees(Rs.),3.3,22,cafe,medium
Bengali By Nature,Gurgaon,MG Road,"fast food, chinese, bengali",400,Indian Rupees(Rs.),3.3,38,fast food,medium
Burger Planet,Gurgaon,MG Road,"north indian, chinese, fast food",300,Indian Rupees(Rs.),3.2,21,north indian,medium
Cafe Coffee Day,Gurgaon,MG Road,cafe,450,Indian Rupees(Rs.),3.1,20,cafe,medium
Chini Bowl,Gurgaon,MG Road,"chinese, thai, japanese, tibetan",800,Indian Rupees(Rs.),2.8,15,chinese,high
E Yum,Gurgaon,MG Road,"continental, italian, mexican",750,Indian Rupees(Rs.),3.4,69,continental,high
Handi X-Press,Gurgaon,MG Road,"north indian, chinese, mughlai",550,Indian Rupees(Rs.),3.2,75,north indian,medium
Ion Club & Dining Lounge,Gurgaon,MG Road,"continental, north indian, mughlai, chinese",1800,Indian Rupees(Rs.),2.6,115,continental,high
Komachi,Gurgaon,MG Road,japanese,1200,Indian Rupees(Rs.),3.2,39,japanese,high
Mehfil-e-Handi,Gurgaon,MG Road,"north indian, chinese, mughlai",400,Indian Rupees(Rs.),2.8,36,north indian,medium
Mezbaan's,Gurgaon,MG Road,"north indian, mughlai, chinese",600,Indian Rupees(Rs.),2.7,61,north indian,medium
Mini Mahal Delux,Gurgaon,MG Road,"north indian, chinese",1200,Indian Rupees(Rs.),2.8,23,north indian,high
Pita Pan,Gurgaon,MG Road,"arabian, lebanese",600,Indian Rupees(Rs.),3.1,82,arabian,medium
SBar Club & Lounge,Gurgaon,MG Road,finger food,2200,Indian Rupees(Rs.),3.1,13,finger food,high
China Club,Gurgaon,MG Road,"chinese, asian",2000,Indian Rupees(Rs.),3.8,283,chinese,high
Coriander Leaf,Gurgaon,MG Road,"mughlai, pakistani, north indian",1600,Indian Rupees(Rs.),3.8,665,mughlai,high
Doughlicious,Gurgaon,MG Road,"bakery, desserts, fast food",550,Indian Rupees(Rs.),3.6,69,bakery,medium
FreshMenu,Gurgaon,MG Road,"italian, chinese, continental, thai, mediterranean, lebanese",600,Indian Rupees(Rs.),3.7,198,italian,medium
L'Angoor,Gurgaon,MG Road,"american, seafood, italian, japanese, thai",2500,Indian Rupees(Rs.),3.5,57,american,high
The Cakelicious Factory,Gurgaon,MG Road,"bakery, desserts, fast food",200,Indian Rupees(Rs.),3.6,43,bakery,low
Green's,Gurgaon,MG Road,"chinese, north indian, south indian, street food",350,Indian Rupees(Rs.),2.3,31,chinese,medium
New Zaika,Gurgaon,MG Road,"north indian, chinese",600,Indian Rupees(Rs.),2.4,35,north indian,medium
Love Is Cakes,Gurgaon,MG Road,bakery,600,Indian Rupees(Rs.),4.1,246,bakery,medium
Costa Coffee,Gurgaon,"MGF Mega City Mall, MG Road",cafe,600,Indian Rupees(Rs.),3.3,31,cafe,medium
Uforia,Gurgaon,"MGF Mega City Mall, MG Road","continental, asian, north indian, italian",1500,Indian Rupees(Rs.),3.5,240,continental,high
Vapour Pub & Brewery,Gurgaon,"MGF Mega City Mall, MG Road","finger food, continental, north indian, italian, chinese",1500,Indian Rupees(Rs.),3.7,1902,finger food,high
Pirates of Grill,Gurgaon,"MGF Mega City Mall, MG Road","north indian, continental, mughlai, asian",2000,Indian Rupees(Rs.),4.1,2806,north indian,high
Barista Creme Lavazza,Gurgaon,"MGF Metropolis Mall, MG Road",cafe,650,Indian Rupees(Rs.),3.2,13,cafe,medium
Frozen Adda,Gurgaon,"MGF Metropolis Mall, MG Road","ice cream, desserts",350,Indian Rupees(Rs.),3.0,5,ice cream,medium
McDonald's,Gurgaon,"MGF Metropolis Mall, MG Road","fast food, burger",500,Indian Rupees(Rs.),3.2,68,fast food,medium
Mr Idli Xpress,Gurgaon,"MGF Metropolis Mall, MG Road","south indian, chinese",450,Indian Rupees(Rs.),2.6,120,south indian,medium
buí©no,Gurgaon,"MGF Metropolis Mall, MG Road","cafe, american, desserts, italian, bakery",650,Indian Rupees(Rs.),3.7,18,cafe,medium
Starbucks,Gurgaon,"MGF Metropolis Mall, MG Road",cafe,700,Indian Rupees(Rs.),3.5,66,cafe,medium
Al Kabab,Gurgaon,"MGF Metropolitan Mall, MG Road","north indian, mughlai",800,Indian Rupees(Rs.),2.7,67,north indian,high
Bangkok 1,Gurgaon,"MGF Metropolitan Mall, MG Road",thai,550,Indian Rupees(Rs.),3.3,40,thai,medium
Barista,Gurgaon,"MGF Metropolitan Mall, MG Road",cafe,650,Indian Rupees(Rs.),3.4,39,cafe,medium
Cafe Cravings,Gurgaon,"MGF Metropolitan Mall, MG Road","cafe, italian",600,Indian Rupees(Rs.),3.4,19,cafe,medium
Hello Sichuan,Gurgaon,"MGF Metropolitan Mall, MG Road",chinese,750,Indian Rupees(Rs.),2.9,42,chinese,high
McDonald's,Gurgaon,"MGF Metropolitan Mall, MG Road","fast food, burger",500,Indian Rupees(Rs.),3.4,234,fast food,medium
Rajasthali,Gurgaon,"MGF Metropolitan Mall, MG Road","gujarati, rajasthani",750,Indian Rupees(Rs.),2.9,501,gujarati,high
Street Foods by Punjab Grill,Gurgaon,"MGF Metropolitan Mall, MG Road","street food, north indian",700,Indian Rupees(Rs.),2.6,61,street food,medium
Subway,Gurgaon,"MGF Metropolitan Mall, MG Road","american, fast food, salad, healthy food",500,Indian Rupees(Rs.),3.3,81,american,medium
Tibb's Frankie,Gurgaon,"MGF Metropolitan Mall, MG Road",fast food,350,Indian Rupees(Rs.),3.4,118,fast food,medium
Tunday Kababi Dastarkhwan-e-Awadh,Gurgaon,"MGF Metropolitan Mall, MG Road","mughlai, north indian",700,Indian Rupees(Rs.),3.1,13,mughlai,medium
Dunkin' Donuts,Gurgaon,"MGF Metropolitan Mall, MG Road","burger, desserts, fast food",600,Indian Rupees(Rs.),3.7,26,burger,medium
Haldiram's,Gurgaon,"MGF Metropolitan Mall, MG Road","north indian, south indian, chinese, street food, fast food, mithai, desserts",600,Indian Rupees(Rs.),3.6,185,north indian,medium
Keventers,Gurgaon,"MGF Metropolitan Mall, MG Road",beverages,400,Indian Rupees(Rs.),3.6,27,beverages,medium
Khaaja Chowk,Gurgaon,"MGF Metropolitan Mall, MG Road","north indian, mughlai, south indian, rajasthani, street food",1000,Indian Rupees(Rs.),3.6,496,north indian,high
Phantom,Gurgaon,"MGF Metropolitan Mall, MG Road","north indian, continental, chinese",1500,Indian Rupees(Rs.),3.5,55,north indian,high
Sage,Gurgaon,"MGF Metropolitan Mall, MG Road","pizza, italian",900,Indian Rupees(Rs.),3.5,205,pizza,high
TGI Friday's,Gurgaon,"MGF Metropolitan Mall, MG Road","american, tex-mex",2500,Indian Rupees(Rs.),3.7,730,american,high
The Belgian Fries Company,Gurgaon,"MGF Metropolitan Mall, MG Road","european, american, street food",400,Indian Rupees(Rs.),3.7,31,european,medium
The Grills King,Gurgaon,"MGF Metropolitan Mall, MG Road","north indian, chinese, continental",1400,Indian Rupees(Rs.),3.8,468,north indian,high
Chicago Pizza,Gurgaon,"MGF Metropolitan Mall, MG Road",pizza,600,Indian Rupees(Rs.),2.3,29,pizza,medium
Suburbia - The Empire,Gurgaon,"MGF Metropolitan Mall, MG Road","continental, european, north indian",1800,Indian Rupees(Rs.),2.1,90,continental,high
Viva Hyderabad,Gurgaon,"MGF Metropolitan Mall, MG Road","biryani, north indian",600,Indian Rupees(Rs.),2.3,34,biryani,medium
Queens Cafí©,Gurgaon,"MGF Metropolitan Mall, MG Road","cafe, north indian",900,Indian Rupees(Rs.),4.0,62,cafe,high
Cafe Coffee Day,Gurgaon,"Ninex City Mart Mall, Sohna Road",cafe,450,Indian Rupees(Rs.),3.3,34,cafe,medium
FOA - The Flavours of Arabia,Gurgaon,"Ninex City Mart Mall, Sohna Road","lebanese, north indian",1500,Indian Rupees(Rs.),3.4,165,lebanese,high
A1,Gurgaon,Old Railway Road,biryani,200,Indian Rupees(Rs.),3.0,4,biryani,low
Apni Rasoi,Gurgaon,Old Railway Road,north indian,400,Indian Rupees(Rs.),2.9,4,north indian,medium
DBDN Deena Meat Vala,Gurgaon,Old Railway Road,north indian,500,Indian Rupees(Rs.),3.2,5,north indian,medium
Deep Chicken Corner,Gurgaon,Old Railway Road,north indian,500,Indian Rupees(Rs.),3.2,18,north indian,medium
Dilli Rasoi,Gurgaon,Old Railway Road,"north indian, mughlai, chinese",700,Indian Rupees(Rs.),3.2,31,north indian,medium
French Omelette,Gurgaon,Old Railway Road,fast food,100,Indian Rupees(Rs.),3.2,7,fast food,low
Green Chick Chop,Gurgaon,Old Railway Road,"raw meats, north indian, fast food",350,Indian Rupees(Rs.),2.9,5,raw meats,medium
Hangout Cafe,Gurgaon,Old Railway Road,"fast food, chinese",200,Indian Rupees(Rs.),3.4,27,fast food,low
Hari Om Rasoi,Gurgaon,Old Railway Road,north indian,400,Indian Rupees(Rs.),3.2,28,north indian,medium
Harish Phulwari,Gurgaon,Old Railway Road,"north indian, south indian, fast food, street food, mithai",600,Indian Rupees(Rs.),3.1,4,north indian,medium
Hotel Rajvanshi Restaurant,Gurgaon,Old Railway Road,"north indian, chinese",600,Indian Rupees(Rs.),3.3,25,north indian,medium
Jagdish Vaishno Dhaba,Gurgaon,Old Railway Road,north indian,150,Indian Rupees(Rs.),3.1,12,north indian,low
JVR Jayka,Gurgaon,Old Railway Road,north indian,200,Indian Rupees(Rs.),2.9,5,north indian,low
Kaza,Gurgaon,Old Railway Road,"north indian, mughlai, south indian, chinese",1000,Indian Rupees(Rs.),3.1,25,north indian,high
Knight Delight Kafe,Gurgaon,Old Railway Road,"fast food, chinese",500,Indian Rupees(Rs.),2.6,12,fast food,medium
Ko Jitters,Gurgaon,Old Railway Road,"fast food, beverages",450,Indian Rupees(Rs.),3.0,6,fast food,medium
Laajawab Chaap Express,Gurgaon,Old Railway Road,north indian,250,Indian Rupees(Rs.),3.1,17,north indian,low
Laddu Gopal,Gurgaon,Old Railway Road,"north indian, south indian, chinese",400,Indian Rupees(Rs.),3.0,13,north indian,medium
Mini's Royal Cafe,Gurgaon,Old Railway Road,"north indian, chinese",500,Indian Rupees(Rs.),3.3,21,north indian,medium
Pakwan,Gurgaon,Old Railway Road,"north indian, chinese",400,Indian Rupees(Rs.),3.4,60,north indian,medium
Patiala,Gurgaon,Old Railway Road,"mughlai, chinese",600,Indian Rupees(Rs.),3.4,33,mughlai,medium
Pind Balluchi,Gurgaon,Old Railway Road,"north indian, mughlai",800,Indian Rupees(Rs.),2.7,11,north indian,high
Pizza Man,Gurgaon,Old Railway Road,"pizza, fast food",400,Indian Rupees(Rs.),2.9,8,pizza,medium
Punjabi Dhani,Gurgaon,Old Railway Road,north indian,700,Indian Rupees(Rs.),3.2,25,north indian,medium
Raju Halwai,Gurgaon,Old Railway Road,north indian,450,Indian Rupees(Rs.),3.1,7,north indian,medium
Rupa Tikki Wala And Caterers,Gurgaon,Old Railway Road,street food,150,Indian Rupees(Rs.),2.8,4,street food,low
Samrat The Cake Shoppe,Gurgaon,Old Railway Road,"bakery, desserts, fast food",150,Indian Rupees(Rs.),3.0,11,bakery,low
Samrat,Gurgaon,Old Railway Road,"bakery, mithai, fast food",400,Indian Rupees(Rs.),2.9,10,bakery,medium
Sanjha Chula,Gurgaon,Old Railway Road,north indian,700,Indian Rupees(Rs.),3.0,6,north indian,medium
Silver Crown,Gurgaon,Old Railway Road,"north indian, chinese, street food, fast food",500,Indian Rupees(Rs.),2.5,12,north indian,medium
Super Bakery,Gurgaon,Old Railway Road,"bakery, fast food, chinese",250,Indian Rupees(Rs.),3.3,26,bakery,low
The Chic,Gurgaon,Old Railway Road,fast food,200,Indian Rupees(Rs.),3.0,15,fast food,low
Unique Bus Wales,Gurgaon,Old Railway Road,chinese,200,Indian Rupees(Rs.),2.8,16,chinese,low
Dilli 6 Express,Gurgaon,Old Railway Road,"north indian, mughlai",550,Indian Rupees(Rs.),3.5,31,north indian,medium
Mangle Di Kulfi,Gurgaon,Old Railway Road,"ice cream, desserts",100,Indian Rupees(Rs.),3.6,18,ice cream,low
The Oven Artist,Gurgaon,Old Railway Road,bakery,800,Indian Rupees(Rs.),3.5,25,bakery,high
Bal Ji Rasoi,Gurgaon,Old Railway Road,north indian,300,Indian Rupees(Rs.),0.0,3,north indian,medium
Dakshin Bistro,Gurgaon,Old Railway Road,"south indian, biryani",600,Indian Rupees(Rs.),0.0,3,south indian,medium
Metro Dhaba,Gurgaon,Old Railway Road,north indian,150,Indian Rupees(Rs.),0.0,1,north indian,low
Sukhman Food City,Gurgaon,Old Railway Road,north indian,200,Indian Rupees(Rs.),0.0,1,north indian,low
The Burger Hub,Gurgaon,Old Railway Road,"burger, fast food, chinese",300,Indian Rupees(Rs.),0.0,3,burger,medium
Pizza Hut Delivery,Gurgaon,"Omaxe Celebration Mall, Sohna Road, Gurgaon","italian, pizza, fast food",800,Indian Rupees(Rs.),2.2,93,italian,high
Hot Cherries,Gurgaon,Omaxe Gurgaon Mall,bakery,400,Indian Rupees(Rs.),3.6,84,bakery,medium
Domino's Pizza,Gurgaon,Omaxe Gurgaon Mall,"pizza, fast food",700,Indian Rupees(Rs.),2.4,112,pizza,medium
Coldpress Company,Gurgaon,Omaxe Gurgaon Mall,"healthy food, juices, salad, italian, continental",500,Indian Rupees(Rs.),4.1,74,healthy food,medium
Hahn's Kitchen,Gurgaon,"One Horizon Center, Golf Course Road",korean,1800,Indian Rupees(Rs.),3.2,12,korean,high
Shree Rathnam,Gurgaon,"One Horizon Center, Golf Course Road","south indian, north indian",800,Indian Rupees(Rs.),3.4,36,south indian,high
Caffe Tonino,Gurgaon,"One Horizon Center, Golf Course Road","italian, pizza, cafe",1400,Indian Rupees(Rs.),3.8,101,italian,high
Carl's Jr.,Gurgaon,"One Horizon Center, Golf Course Road","burger, american, fast food",650,Indian Rupees(Rs.),3.5,45,burger,medium
Delhi Club House,Gurgaon,"One Horizon Center, Golf Course Road","north indian, continental, asian",1700,Indian Rupees(Rs.),3.9,81,north indian,high
GoGourmet,Gurgaon,"One Horizon Center, Golf Course Road","healthy food, beverages",600,Indian Rupees(Rs.),3.7,33,healthy food,medium
Shophouse by Kylin,Gurgaon,"One Horizon Center, Golf Course Road","japanese, chinese, thai",1500,Indian Rupees(Rs.),3.5,37,japanese,high
Starbucks,Gurgaon,"One Horizon Center, Golf Course Road",cafe,700,Indian Rupees(Rs.),3.5,16,cafe,medium
Baskin Robbins,Gurgaon,Palam Vihar,ice cream,300,Indian Rupees(Rs.),3.1,14,ice cream,medium
Bikaner Sweets & Restaurant,Gurgaon,Palam Vihar,"street food, north indian, mithai",350,Indian Rupees(Rs.),3.1,9,street food,medium
Burger Bites & More,Gurgaon,Palam Vihar,"fast food, chinese",450,Indian Rupees(Rs.),2.9,19,fast food,medium
Cafí© Gramophone,Gurgaon,Palam Vihar,"cafe, fast food",700,Indian Rupees(Rs.),3.2,15,cafe,medium
Chawla Bakers,Gurgaon,Palam Vihar,"bakery, street food",200,Indian Rupees(Rs.),3.2,18,bakery,low
Crust N Cakes,Gurgaon,Palam Vihar,bakery,550,Indian Rupees(Rs.),3.2,6,bakery,medium
Darjeeling Kanchanjanga Momos,Gurgaon,Palam Vihar,"chinese, fast food",200,Indian Rupees(Rs.),2.9,4,chinese,low
Desserts 83,Gurgaon,Palam Vihar,desserts,200,Indian Rupees(Rs.),3.2,10,desserts,low
Express Kitchen,Gurgaon,Palam Vihar,"north indian, chinese",600,Indian Rupees(Rs.),2.9,4,north indian,medium
Giani's,Gurgaon,Palam Vihar,"ice cream, desserts",400,Indian Rupees(Rs.),3.1,24,ice cream,medium
Hangover,Gurgaon,Palam Vihar,"north indian, chinese",800,Indian Rupees(Rs.),2.7,11,north indian,high
Sangam Sweets,Gurgaon,Palam Vihar,"street food, mithai, south indian, north indian, chinese",250,Indian Rupees(Rs.),2.5,9,street food,low
Shree Bikaner Misthan Bhandar,Gurgaon,Palam Vihar,"mithai, street food, chinese",300,Indian Rupees(Rs.),3.0,4,mithai,medium
Shree Shyam Rasoi,Gurgaon,Palam Vihar,north indian,350,Indian Rupees(Rs.),3.1,12,north indian,medium
Swad On Grill,Gurgaon,Palam Vihar,"continental, chinese, north indian, mughlai",400,Indian Rupees(Rs.),3.1,17,continental,medium
The Pepper's,Gurgaon,Palam Vihar,"north indian, mughlai, chinese",250,Indian Rupees(Rs.),3.0,5,north indian,low
Anisha Restaurant,Gurgaon,Palam Vihar,"north indian, mughlai",400,Indian Rupees(Rs.),0.0,1,north indian,medium
Annapoorna Foods,Gurgaon,Palam Vihar,"north indian, mughlai, south indian",600,Indian Rupees(Rs.),0.0,1,north indian,medium
Bakelicious 18,Gurgaon,Palam Vihar,"bakery, desserts",450,Indian Rupees(Rs.),0.0,2,bakery,medium
Bansiwala Bakery,Gurgaon,Palam Vihar,"bakery, fast food",200,Indian Rupees(Rs.),0.0,0,bakery,low
